Lat,Lon,Title,Country/Region,Confirmed,Deaths
47.223193,11.5261028,Tyrol,Austria,37,0
47.25,9.9166667,Vorarlberg,Austria,12,0
48.25,14,Upper Austria,Austria,28,0
46.7500001,13.8333333,Carinthia ,Austria,1,0
47.7981346,13.0464806,Salzburg ,Austria,11,0
47.5000001,16.4166666,Burgenland,Austria,4,0
47.2000338,13.199959,Austria,City NA,40,0
46.2017559,6.1466014,Geneva,Switzerland,52,0
46.3356506,8.753706,Ticino,Switzerland,89,1
47.3723941,8.5423328,Zurich,Switzerland,45,0
46.6356963,6.5320717,Vaud,Switzerland,76,1
46.9895828,6.9292641,Neuchatel,Switzerland,27,0
46.9482713,7.4514512,Bern,Switzerland,39,0
46.6789116,7.1027113,Fribourg,Switzerland,12,0
47.5092938,7.6588333,Basel-Landschaft,Switzerland,21,1
47.0571976,8.7222073,Schwyz,Switzerland,7,0
47.0505452,8.3054682,Lucerne,Switzerland,6,0
46.7833625,5.7832857,Jura,Switzerland,3,0
47.1486137,8.5539378,Zug,Switzerland,7,0
47.4250593,9.3765878,St. Gallen,Switzerland,7,0
46.2303063,7.6605757,Valais,Switzerland,15,0
47.412396,8.1948321,Aargau,Switzerland,22,0
46.6960615,9.6027351,Graubunden,Switzerland,18,0
47.5581077,7.5878261,Basel,Switzerland,39,0
47.5859649,9.1428769,Thurgau,Switzerland,1,0
47.31874,7.6698284,Solothurn,Switzerland,1,0
47.3960076,9.3705839,Appenzell Ausserrhoden,Switzerland,2,0
46.9796562,9.108812,Glarus,Switzerland,1,0
46.7985624,8.2319736,Switzerland,City NA,162,1
28.0000272,2.9999825,People's Democratic Republic of Algeria,City NA,20,0
38.9953683,21.9877132,Greece,City NA,99,0
-10.3333333,-53.2,Brazil,City NA,52,0
41.6424623,41.6485045,Republic of Georgia,City NA,24,0
58.7194423,8.0349635,Agder,Norway,40,0
59.9133301,10.7389701,Oslo,Norway,51,0
58.9363137,5.8058786,Rogaland,Norway,73,0
63.8775924,10.1950505,Trondelag ,Norway,37,0
69.8699347,21.8272785,Troms og Finnmark,Norway,7,0
59.3962676,9.0618982,Vestfold og Telemark,Norway,14,0
60.9291011,6.1078869,Vestland,Norway,40,0
61.2681056,10.4854588,Innlandet,Norway,27,0
59.9263265,9.9042345,Viken,Norway,131,0
62.8452777,7.5181941,More og Romsdal,Norway,5,0
67.2756405,13.8623606,Nordland,Norway,3,0
60.5000209,9.0999715,Norway,City NA,201,0
55.670249,10.3333283,Kingdom of Denmark,City NA,516,0
45.9852129,24.6859225,Romania,City NA,47,0
58.7523778,25.3319078,Estonia,City NA,16,0
41.6171214,21.7168387,Republic of North Macedonia,City NA,7,0
30.3308401,71.247499,Pakistan,City NA,19,0
52.5001698,5.7480821,Netherlands,City NA,503,5
9.6000359,7.9999721,Nigeria,City NA,2,0
53.4250605,27.6971358,Belarus,City NA,9,0
55.3500003,23.7499997,Republic of Lithuania,City NA,3,0
52.865196,-7.9794599,Ireland,City NA,43,1
40.3936294,47.7872508,Azerbaijan,City NA,11,0
43.738449,7.4242241,Principality of Monaco,City NA,1,0
43.2742402,40.2679992,Republic of San Marino,City NA,62,2
25.0000001,-107.5000001,Sinaloa,Mexico,1,0
19.4326296,-99.1331785,Mexico City,Mexico,3,0
16.5000001,-92.5000001,Chiapas,Mexico,1,0
27.3333331,-102.0000001,Coahuila,Mexico,1,0
19.4839446,-99.6899716,State of Mexico,Mexico,1,0
19.4326296,-99.1331785,Mexico,City NA,5,0
-36.852095,174.7631803,Auckland,New Zealand,5,0
49.8158683,6.1296751,Luxembourg,City NA,7,0
-1.3397668,-79.3666965,Ecuador,City NA,17,0
40.7696272,44.6736646,Republic of Armenia,City NA,1,0
64.9841821,-18.1059013,Iceland,City NA,85,0
25.3336984,51.2295295,State of Qatar,City NA,262,0
19.0974031,-70.3028026,Dominican Republic,City NA,5,0
49.8167003,15.4749544,Czech Republic,City NA,94,0
-2.4833826,117.8902853,Indonesia,City NA,34,0
42.5407167,1.5732033,Principality of Andorra,City NA,1,0
56.8406494,24.7537645,Latvia ,City NA,10,0
25.6242618,42.3528328,Saudi Arabia,City NA,45,0
31.1667049,36.941628,Hashemite Kingdom of Jordan,City NA,1,0
14.6610588,-17.4369794,Republic of Senegal,City NA,4,0
31.1728205,-7.3362482,Morocco,City NA,6,1
40.0332629,-7.8896263,Portugal,City NA,59,0
33.8439408,9.400138,Tunisia,City NA,6,0
-31.7613365,-71.3187697,Chile,City NA,23,0
47.1416307,9.5531527,Principality of Liechtenstein,City NA,1,0
49.4871968,31.2718321,Ukraine,City NA,1,0
-34.9964963,-64.9672817,Argentina,City NA,21,1
51.9383777,15.5050408,Zielona Gora,Poland,31,0
47.1817585,19.5060937,Hungary,City NA,9,0
46.0499803,14.5068602,Ljubljana,Slovenia,57,0
-28.8166236,24.991639,South Africa,City NA,13,0
27.549511,90.5119273,Bhutan,City NA,1,0
44.7741181,17.1961532,Banja Luka,Bosnia and Herzegovina,7,0
31.7043556,35.2061876,Bethlehem,State of Palestine,30,0
41.9038149,12.4531527,Vatican City,City NA,1,0
4.6125522,13.1535811,Cameroon,City NA,2,0
48.1516988,17.1093063,Bratislava,Slovakia,7,0
2.8894434,-73.783892,Colombia,City NA,9,0
10.2735633,-84.0739102,Costa Rica,City NA,22,0
4.7064352,73.3287853,Maldives,City NA,8,0
35.8885993,14.4476911,Malta,City NA,5,0
47.2879608,28.5670941,Republic of Moldova,City NA,3,0
-23.3165935,-58.1693445,Paraguay,City NA,5,0
-6.8699697,-75.0458515,Peru,City NA,17,0
8.7800265,1.0199765,Togo,City NA,1,0
24.4768598,90.2932299,Bangladesh,City NA,3,0
42.6073975,25.4856617,Bulgaria,City NA,7,1
41.000028,19.9999619,Albania,City NA,12,1
34.9823018,33.1451285,Cyprus,City NA,6,0
4.4137155,114.5653908,Brunei,City NA,11,0
12.0753083,-1.6880314,Burkina Faso,City NA,2,0
46.8250388,103.8499736,Mongolia,City NA,1,0
8.559559,-81.1308434,Panama,City NA,8,1
18.1152958,-77.1598455,Jamaica,City NA,2,0
-2.9814344,23.8222636,Democratic Republic of Congo,City NA,1,0
38.9597594,34.9249653,Turkey,City NA,1,0
-17.0568696,-64.9912286,Bolivia,City NA,2,0
15.2572432,-86.0755145,Honduras,City NA,2,0
23.0131338,-80.8328748,Cuba,City NA,3,0
7.9897371,-5.5679458,Côte d'Ivoire (Ivory Coast),City NA,1,0
4.8417097,-58.6416891,Guyana,City NA,1,1
12.90447,-61.2765569,St Vincent and the Grenadines,City NA,1,0
